序号,IP地址,最多玩职业,篮球手游段位,延迟感受,接受匹配延长,爆发提示明显度,爆发区域明显度,篮板碎裂动画,入场庆祝动作,战斗内观众,动态篮网效果,职业平衡性,爆发技体验,C/PF定位体验,贴身上篮规则,技能绑定设计,天赋树设计,身后盖帽规则,盖帽硬直规则,花式技能体验,晃倒三种表现,总分
63.0,117.136.50.68(陕西-西安),得分后卫（SG）,黄金~钻石,感觉没法玩了,不能接受,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,55.0
64.0,42.87.161.0(辽宁-抚顺),得分后卫（SG）,黄金~钻石,比较难受,不能接受,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,4.0,3.0,3.0,45.0
65.0,183.192.22.87(上海-上海),得分后卫（SG）,黄金~钻石,感觉没法玩了,不能接受,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,51.0
66.0,27.191.198.82(河北-唐山),中锋（C）,大师~传奇,感觉没法玩了,可以接受,3.0,3.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,56.0
67.0,223.74.235.177(广东-揭阳),得分后卫（SG）,王者,比较难受,可以接受,4.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,53.0
68.0,118.250.81.89(湖南-长沙),小前锋（SF）,黄金~钻石,没遇到网络波动,可以接受,4.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,60.0
69.0,223.101.59.243(辽宁-沈阳),中锋（C）,黄金~钻石,感觉没法玩了,不能接受,4.0,2.0,3.0,2.0,2.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,52.0
70.0,123.172.67.93(吉林-长春),得分后卫（SG）,大师~传奇,比较难受,可以接受,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,76.0
71.0,120.82.255.54(广东-佛山),大前锋（PF）,大师~传奇,感觉没法玩了,不能接受,3.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,55.0
72.0,39.88.206.61(山东-青岛),小前锋（SF）,黄金~钻石,比较难受,不能接受,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,72.0
73.0,223.96.69.3(山东-淄博),中锋（C）,黄金~钻石,感觉没法玩了,可以接受,5.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,67.0
74.0,182.242.233.114(云南-昆明),得分后卫（SG）,黄金~钻石,感觉没法玩了,我不在意,1.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,1.0,3.0,1.0,4.0,48.0
75.0,139.214.8.250(吉林-白山),得分后卫（SG）,大师~传奇,比较难受,我不在意,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,5.0,2.0,5.0,3.0,4.0,38.0
76.0,100.120.34.37(国外-保留),中锋（C）,王者,感觉没法玩了,我不在意,3.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,63.0
77.0,218.27.70.91(吉林-长春),得分后卫（SG）,大师~传奇,感觉没法玩了,我不在意,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,73.0
78.0,113.5.4.93(黑龙江-哈尔滨),中锋（C）,王者,感觉没法玩了,我不在意,5.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,5.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,55.0
79.0,124.67.236.173(内蒙古-赤峰),大前锋（PF）,大师~传奇,比较难受,可以接受,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,70.0
80.0,139.214.254.49(吉林-长春),控球后卫（PG）,大师~传奇,感觉没法玩了,可以接受,5.0,5.0,5.0,2.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,65.0
81.0,117.63.88.170(江苏-常州),控球后卫（PG）,黄金~钻石,感觉没法玩了,可以接受,5.0,5.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,58.0
82.0,119.166.198.54(山东-青岛),小前锋（SF）,黄金~钻石,感觉没法玩了,不能接受,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.0
83.0,139.206.95.190(四川-自贡),小前锋（SF）,王者,感觉没法玩了,可以接受,5.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,44.0
84.0,117.136.79.95(广东-珠海),小前锋（SF）,黄金~钻石,比较难受,可以接受,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,80.0
85.0,171.82.166.79(湖北-武汉),大前锋（PF）,大师~传奇,感觉没法玩了,不能接受,4.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,53.0
86.0,182.116.193.236(河南-濮阳),得分后卫（SG）,黄金~钻石,感觉没法玩了,可以接受,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,72.0
87.0,119.55.215.228(吉林-白山),得分后卫（SG）,黄金~钻石,比较难受,可以接受,3.0,4.0,5.0,4.0,4.0,5.0,1.0,1.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,48.0
88.0,101.22.211.103(河北-衡水),大前锋（PF）,黄金~钻石,比较难受,可以接受,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,58.0
89.0,110.87.93.157(福建-厦门),小前锋（SF）,大师~传奇,感觉没法玩了,不能接受,1.0,1.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,45.0
90.0,61.185.150.105(陕西-榆林),得分后卫（SG）,王者,感觉没法玩了,不能接受,3.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,49.0
91.0,223.104.2.9(山东-青岛),中锋（C）,黄金~钻石,感觉没法玩了,不能接受,4.0,5.0,5.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,1.0,4.0,5.0,5.0,62.0
92.0,112.3.237.191(江苏-南京),中锋（C）,黄金~钻石,感觉没法玩了,可以接受,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,25.0
93.0,112.1.50.142(江苏-南京),得分后卫（SG）,黄金~钻石,比较难受,不能接受,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,48.0
94.0,113.111.168.9(广东-广州),控球后卫（PG）,王者,感觉没法玩了,我不在意,4.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,43.0
95.0,112.28.140.62(安徽-铜陵),控球后卫（PG）,黄金~钻石,感觉没法玩了,可以接受,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,64.0
96.0,117.136.118.22(北京-北京),得分后卫（SG）,黄金~钻石,感觉没法玩了,可以接受,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,57.0
97.0,114.245.35.220(北京-北京),得分后卫（SG）,黄金~钻石,感觉没法玩了,不能接受,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,5.0,2.0,3.0,2.0,4.0,3.0,4.0,48.0
98.0,114.252.100.231(北京-北京),控球后卫（PG）,黄金~钻石,感觉没法玩了,我不在意,5.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,57.0
99.0,112.5.207.106(福建-厦门),中锋（C）,大师~传奇,比较难受,不能接受,2.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,48.0
100.0,180.115.187.208(江苏-常州),中锋（C）,黄金~钻石,感觉没法玩了,可以接受,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,47.0
101.0,27.16.176.162(湖北-武汉),中锋（C）,黄金~钻石,比较难受,可以接受,3.0,3.0,4.0,3.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,2.0,3.0,58.0
102.0,223.73.132.118(广东-佛山),大前锋（PF）,黄金~钻石,感觉没法玩了,不能接受,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,42.0
103.0,113.16.101.156(广西-梧州),大前锋（PF）,青铜~白银,还能接受,可以接受,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,44.0
104.0,113.139.227.163(陕西-西安),控球后卫（PG）,王者,感觉没法玩了,可以接受,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,55.0
105.0,183.198.226.49(河北-邢台),控球后卫（PG）,黄金~钻石,比较难受,不能接受,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,3.0,56.0
106.0,220.197.195.53(贵州-贵阳),中锋（C）,黄金~钻石,感觉没法玩了,不能接受,3.0,5.0,5.0,4.0,4.0,5.0,3.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,66.0
107.0,101.131.181.218(辽宁-大连),中锋（C）,王者,感觉没法玩了,我不在意,3.0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,1.0,3.0,3.0,4.0,60.0
108.0,117.136.91.224(山西-太原),控球后卫（PG）,黄金~钻石,感觉没法玩了,我不在意,4.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,51.0
109.0,119.131.179.247(广东-广州),得分后卫（SG）,王者,比较难受,可以接受,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,58.0
110.0,100.120.34.124(国外-保留),小前锋（SF）,黄金~钻石,比较难受,可以接受,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,55.0
111.0,218.26.55.12(山西-太原),控球后卫（PG）,黄金~钻石,感觉没法玩了,可以接受,5.0,5.0,1.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,66.0
112.0,115.56.236.146(河南-焦作),小前锋（SF）,黄金~钻石,感觉没法玩了,我不在意,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,54.0
113.0,112.12.198.124(浙江-温州),中锋（C）,青铜~白银,还能接受,不能接受,5.0,5.0,3.0,5.0,1.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,67.0
114.0,49.92.154.163(江苏-南京),得分后卫（SG）,黄金~钻石,还能接受,可以接受,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,76.0
115.0,182.148.114.166(四川-成都),中锋（C）,大师~传奇,感觉没法玩了,可以接受,3.0,5.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,49.0
116.0,122.96.42.15(江苏-南京),小前锋（SF）,黄金~钻石,感觉没法玩了,可以接受,2.0,2.0,5.0,3.0,2.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,53.0
117.0,118.112.177.28(四川-成都),得分后卫（SG）,大师~传奇,比较难受,可以接受,5.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,53.0
118.0,153.0.3.222(海南-海口),小前锋（SF）,黄金~钻石,感觉没法玩了,不能接受,3.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,52.0
119.0,182.148.114.166(四川-成都),得分后卫（SG）,黄金~钻石,比较难受,可以接受,3.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,50.0
120.0,113.57.246.248(湖北-武汉),得分后卫（SG）,黄金~钻石,比较难受,可以接受,3.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,34.0
121.0,211.137.19.80(辽宁-沈阳),中锋（C）,王者,还能接受,不能接受,2.0,2.0,5.0,4.0,3.0,4.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,58.0
122.0,171.82.132.28(湖北-武汉),大前锋（PF）,大师~传奇,感觉没法玩了,可以接受,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,5.0,2.0,3.0,3.0,3.0,51.0
123.0,139.214.155.177(吉林-吉林),小前锋（SF）,黄金~钻石,感觉没法玩了,可以接受,5.0,5.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,55.0
124.0,117.136.92.46(山东-青岛),控球后卫（PG）,黄金~钻石,还能接受,可以接受,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,60.0
125.0,117.136.71.128(云南-玉溪),得分后卫（SG）,大师~传奇,感觉没法玩了,不能接受,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,43.0
